日期：2021/11/26 	时间：16:27:06 	用户：mao 	身份：管理员 	操作：增加数据
日期：2021/11/26 	时间：16:27:13 	用户：mao 	身份：管理员 	操作：增加数据
日期：2021/11/26 	时间：16:27:16 	用户：mao 	身份：管理员 	操作：增加数据
日期：2021/11/28 	时间：13:37:07 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：13:37:17 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：13:37:37 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：13:41:12 	用户：mao 	身份：访客 	操作：查看学生信息
日期：2021/11/28 	时间：13:41:45 	用户：mao 	身份：访客 	操作：使用全局搜索搜索学生信息
日期：2021/11/28 	时间：13:42:12 	用户：mao 	身份：访客 	操作：查找学号
日期：2021/11/28 	时间：13:46:36 	用户：mao 	身份：管理员 	操作：添加学生信息
日期：2021/11/28 	时间：13:46:47 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：13:48:42 	用户：mao 	身份：访客 	操作：查看学生信息
日期：2021/11/28 	时间：13:49:07 	用户：mao 	身份：访客 	操作：使用全局搜索搜索学生信息
日期：2021/11/28 	时间：13:51:20 	用户：mao 	身份：管理员 	操作：修改密码
日期：2021/11/28 	时间：13:58:05 	用户：mao 	身份：管理员 	操作：修改密码
日期：2021/11/28 	时间：14:00:49 	用户：mao 	身份：管理员 	操作：修改密码
日期：2021/11/28 	时间：14:02:15 	用户：mao 	身份：管理员 	操作：添加学生信息
日期：2021/11/28 	时间：14:02:22 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:03:45 	用户：mao 	身份：管理员 	操作：添加学生信息
日期：2021/11/28 	时间：14:03:50 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:04:57 	用户：mao 	身份：管理员 	操作：使用全局搜索搜索学生信息
日期：2021/11/28 	时间：14:05:22 	用户：mao 	身份：管理员 	操作：查找学号
日期：2021/11/28 	时间：14:05:33 	用户：mao 	身份：管理员 	操作：查找姓名
日期：2021/11/28 	时间：14:05:51 	用户：mao 	身份：管理员 	操作：使用全局搜索搜索学生信息
日期：2021/11/28 	时间：14:06:50 	用户：mao 	身份：管理员 	操作：修改学生学号为123456的信息  操作序号为6
日期：2021/11/28 	时间：14:06:55 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:07:02 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:08:26 	用户：mao 	身份：管理员 	操作：添加学生信息
日期：2021/11/28 	时间：14:08:32 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:10:00 	用户：mao 	身份：管理员 	操作：按学号升序
日期：2021/11/28 	时间：14:10:28 	用户：mao 	身份：管理员 	操作：按学号降序
日期：2021/11/28 	时间：14:10:49 	用户：mao 	身份：管理员 	操作：按学号升序
日期：2021/11/28 	时间：14:11:03 	用户：mao 	身份：管理员 	操作：按姓名升序
日期：2021/11/28 	时间：14:11:15 	用户：mao 	身份：管理员 	操作：按姓名降序
日期：2021/11/28 	时间：14:11:39 	用户：mao 	身份：管理员 	操作：按性别升序
日期：2021/11/28 	时间：14:11:48 	用户：mao 	身份：管理员 	操作：按性别降序
日期：2021/11/28 	时间：14:11:59 	用户：mao 	身份：管理员 	操作：按年龄升序
日期：2021/11/28 	时间：14:12:06 	用户：mao 	身份：管理员 	操作：按年龄降序
日期：2021/11/28 	时间：14:12:16 	用户：mao 	身份：管理员 	操作：按所在班级升序
日期：2021/11/28 	时间：14:12:25 	用户：mao 	身份：管理员 	操作：按所在班级降序
日期：2021/11/28 	时间：14:12:34 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:12:44 	用户：mao 	身份：管理员 	操作：按平均学分绩点升序
日期：2021/11/28 	时间：14:12:58 	用户：mao 	身份：管理员 	操作：按平均学分绩点降序
日期：2021/11/28 	时间：14:13:10 	用户：mao 	身份：管理员 	操作：按电话号码升序
日期：2021/11/28 	时间：14:13:21 	用户：mao 	身份：管理员 	操作：按生日升序
日期：2021/11/28 	时间：14:13:34 	用户：mao 	身份：管理员 	操作：按生日降序
日期：2021/11/28 	时间：14:13:45 	用户：mao 	身份：管理员 	操作：按家庭地址升序
日期：2021/11/28 	时间：14:13:50 	用户：mao 	身份：管理员 	操作：按家庭地址降序
日期：2021/11/28 	时间：14:14:02 	用户：mao 	身份：管理员 	操作：按平均学分绩点降序
日期：2021/11/28 	时间：14:15:27 	用户：mao 	身份：管理员 	操作：查看学生信息
日期：2021/11/28 	时间：14:16:45 	用户：mao 	身份：管理员 	操作：删除学生学号为123587的信息
日期：2021/11/28 	时间：14:16:56 	用户：mao 	身份：管理员 	操作：查看学生信息
